company_name,work_hours,job_titles,skills
Jackson Group,20:29 - 17:34,['Geophysical data processor'],[['after']]
White-Fletcher,15:37 - 20:34,"['Games developer', 'Pension scheme manager', 'Claims inspector/assessor', 'Haematologist', 'Careers adviser', 'Academic librarian', 'Sales promotion account executive', 'Meteorologist', 'Lobbyist', 'Dancer']","[['police', 'role', 'left', 'east'], ['fast', 'fish'], ['after', 'budget', 'become', 'model', 'last'], ['and', 'hundred', 'together', 'money', 'between'], ['environmental', 'weight'], ['loss', 'radio', 'white', 'group'], ['know', 'surface'], ['reality', 'own', 'alone', 'cut'], ['he', 'professional'], ['off', 'this', 'day', 'kid']]"
Conner-Moon,14:00 - 02:50,"['Counsellor', 'Nutritional therapist', 'Accommodation manager', 'Environmental health practitioner', 'Surveyor, quantity', 'Engineer, manufacturing systems', 'Network engineer', 'Chief Technology Officer', 'Therapist, music', 'Armed forces logistics/support/administrative officer']","[['expect', 'manager'], ['man'], ['local', 'name'], ['performance', 'write', 'affect'], ['bar', 'despite', 'skin'], ['require', 'Mr', 'project', 'must'], ['oil', 'since', 'either', 'against', 'sell'], ['have'], ['from', 'sound'], ['sport']]"
"Burgess, Perez and Bowman",04:45 - 06:49,['Pathologist'],"[['white', 'avoid', 'present']]"
Carter LLC,03:19 - 03:48,"['Environmental consultant', 'Scientific laboratory technician', 'Optician, dispensing', 'Oceanographer', 'Industrial/product designer', 'Electronics engineer', 'Hydrogeologist', 'Wellsite geologist', 'Lawyer']","[['interest', 'nor'], ['base', 'remain'], ['single', 'own', 'wind'], ['team', 'they', 'land', 'then'], ['water', 'far'], ['story', 'civil', 'light'], ['able', 'set', 'serious', 'individual'], ['court', 'improve'], ['sea', 'Democrat', 'so']]"
Jackson-Greene,04:23 - 18:12,"['Economist', 'Immunologist', 'Arboriculturist', 'Network engineer', 'Archaeologist', 'Management consultant']","[['ability'], ['official', 'word'], ['book', 'second', 'get', 'factor'], ['return', 'allow', 'also'], ['peace'], ['usually', 'until', 'avoid', 'ago']]"
"Davis, Davis and Bishop",21:25 - 07:58,"['Careers information officer', 'Chief Executive Officer', 'Scientist, forensic']","[['research'], ['call'], ['size', 'edge', 'buy', 'Republican', 'just']]"
Hayes-Burgess,02:53 - 01:21,"['Psychotherapist, child']",[['simple']]
"Garcia, Thompson and Hughes",21:54 - 12:52,"['Careers adviser', 'IT sales professional', 'Financial trader', 'Retail banker', 'Engineer, technical sales', 'Agricultural consultant', 'Engineer, manufacturing', 'Pharmacist, community', 'Scientist, biomedical', 'Historic buildings inspector/conservation officer']","[['city', 'determine', 'choice'], ['not', 'near', 'by', 'yeah', 'thing'], ['could'], ['still', 'movie', 'environment'], ['probably'], ['when', 'decade', 'measure'], ['chance', 'friend'], ['change', 'director', 'fast', 'window', 'idea'], ['body', 'accept', 'any', 'father'], ['require', 'impact']]"
Olsen-Rodriguez,05:45 - 15:50,"['Administrator, sports', 'Scientist, marine', 'Editor, commissioning', 'Jewellery designer', 'Games developer', 'Editor, film/video']","[['rest', 'situation', 'reason', 'assume', 'cold'], ['peace', 'floor'], ['specific', 'across', 'on', 'claim', 'war'], ['customer', 'offer', 'deep', 'listen'], ['pick', 'art', 'sort'], ['apply', 'need', 'should', 'dinner']]"
Bryant-Sanchez,00:58 - 04:18,"['Microbiologist', 'Building services engineer', 'Mining engineer', 'Chief Operating Officer', 'Merchant navy officer', 'Therapist, nutritional']","[['capital', 'identify', 'should', 'need'], ['argue'], ['majority', 'learn', 'finish'], ['marriage', 'soon'], ['best', 'participant', 'film', 'size'], ['difference', 'seem', 'partner', 'nothing']]"
Garcia-Sanford,21:51 - 17:06,"['Engineer, communications', 'Social research officer, government', 'Advertising copywriter', 'Museum/gallery conservator', 'Environmental consultant', 'Customer service manager', 'Editorial assistant']","[['risk'], ['loss', 'color', 'main'], ['like', 'a', 'arm', 'reduce', 'carry'], ['may', 'police', 'candidate', 'fly'], ['less', 'film', 'something', 'push', 'history'], ['allow'], ['enjoy', 'beat']]"
Cochran-Ellison,14:15 - 19:51,"['Physicist, medical', 'Nurse, learning disability', 'Arboriculturist', 'Designer, jewellery', 'Set designer', 'Accommodation manager', 'Engineer, manufacturing systems', 'Public relations account executive']","[['condition', 'home', 'on'], ['line', 'only', 'school'], ['role', 'instead'], ['go', 'kind', 'kind'], ['drug', 'cultural', 'upon', 'star', 'place'], ['increase', 'teacher', 'either', 'question', 'American'], ['these', 'face', 'style', 'center', 'sign'], ['free', 'individual', 'source', 'yourself', 'west']]"
"Williams, Harris and Webb",20:45 - 10:24,"['Careers information officer', 'Clinical embryologist', 'Insurance broker', 'IT trainer', 'Research officer, political party', 'Higher education careers adviser', 'English as a second language teacher', 'Conservation officer, nature']","[['of', 'as', 'keep', 'idea'], ['imagine', 'contain', 'vote', 'above', 'race'], ['simply', 'with'], ['field', 'word'], ['we', 'spring', 'chair', 'everything'], ['line', 'high'], ['particular'], ['officer', 'agency', 'career', 'soon', 'customer']]"
Matthews Inc,04:42 - 21:12,"['Designer, jewellery', 'Geneticist, molecular', 'Solicitor, Scotland', 'Librarian, academic', 'Housing manager/officer']","[['one', 'store', 'reduce'], ['ok', 'leg', 'adult', 'wear', 'or'], ['bank', 'at', 'section'], ['report'], ['area', 'speech', 'onto']]"
"Barnett, Flores and Jenkins",21:34 - 22:49,"['Charity fundraiser', 'Counsellor', 'Cartographer', 'Landscape architect', 'Conference centre manager', 'Nurse, mental health', 'Prison officer', 'Special educational needs teacher', 'Academic librarian', 'Waste management officer']","[['analysis', 'arrive', 'off'], ['chair', 'boy'], ['character', 'add', 'although', 'price', 'idea'], ['add', 'head', 'increase', 'stock'], ['traditional', 'feel', 'need'], ['sort'], ['trade', 'then', 'the', 'test', 'security'], ['suffer', 'whose', 'arrive', 'create', 'important'], ['out', 'surface', 'sense'], ['until']]"
Johnson-Rivera,14:37 - 06:12,"['Social worker', 'Horticultural therapist', 'Secondary school teacher', 'Scientific laboratory technician', 'Scientist, product/process development', 'Sports therapist', 'Occupational psychologist', 'Corporate investment banker', 'Surveyor, quantity']","[['language', 'easy', 'himself', 'what', 'nearly'], ['program', 'throughout'], ['garden'], ['total', 'over', 'both'], ['strong', 'tree'], ['give', 'or', 'age'], ['understand', 'minute', 'particular', 'teach', 'far'], ['son', 'young'], ['again']]"
"Hernandez, Barker and Watkins",22:27 - 02:21,"['Producer, radio', 'Immunologist']","[['worry', 'analysis'], ['turn', 'visit']]"
Thompson Inc,06:40 - 13:14,"['Scientist, water quality', 'Surveyor, quantity', 'Scientist, marine', 'Landscape architect', 'Herpetologist', 'Geologist, engineering', 'Animator', 'Freight forwarder', 'Production manager']","[['total', 'half', 'us', 'nation', 'loss'], ['inside', 'see', 'find', 'director', 'amount'], ['article'], ['image', 'local', 'heavy'], ['since', 'successful'], ['tend'], ['scientist', 'suggest', 'after'], ['against', 'next', 'live', 'page'], ['entire', 'suffer', 'song', 'better']]"
Wagner-Glenn,23:54 - 14:38,"['Visual merchandiser', 'Fish farm manager', 'Scientist, water quality', 'Further education lecturer', 'Medical illustrator', 'Surveyor, land/geomatics']","[['particularly'], ['without'], ['two'], ['money'], ['information', 'build', 'occur', 'message'], ['alone', 'scientist', 'bar']]"
James-Ellis,14:56 - 21:19,"['Agricultural consultant', 'Financial adviser', 'Teacher, secondary school', 'Heritage manager', 'Research scientist (medical)', 'Designer, fashion/clothing', 'Print production planner', 'Programme researcher, broadcasting/film/video']","[['cover', 'heavy', 'another', 'national'], ['friend', 'only', 'example'], ['huge', 'interesting', 'political', 'like'], ['sport', 'wall', 'personal', 'end'], ['collection', 'all', 'day'], ['anyone', 'stay', 'safe', 'likely', 'score'], ['every', 'kind', 'risk'], ['guess']]"
"Reid, Carter and Hunter",07:31 - 21:01,"['Engineer, mining']",[['prove']]
"Rodriguez, Green and Edwards",17:43 - 13:59,"['Surveyor, building control', 'Investment banker, operational', 'Translator', 'Development worker, community', 'Comptroller', 'Transport planner', 'Conservator, museum/gallery', 'Academic librarian', 'Designer, ceramics/pottery', 'Drilling engineer']","[['single', 'camera', 'develop', 'hold', 'heart'], ['interview', 'serious', 'want'], ['though', 'worry'], ['play', 'mother'], ['end', 'until', 'sometimes', 'enter', 'here'], ['him'], ['player', 'others', 'green', 'capital'], ['medical', 'a'], ['quickly', 'woman', 'notice'], ['discuss']]"
Peterson and Sons,19:37 - 23:14,"['Games developer', 'Chiropodist', 'Outdoor activities/education manager', 'Neurosurgeon', 'Surveyor, commercial/residential', 'Actor', 'Scientific laboratory technician', 'Accountant, chartered public finance', 'Accountant, chartered management', 'Geochemist']","[['floor'], ['usually', 'bring', 'the', 'ever', 'morning'], ['reflect'], ['current', 'within', 'seem', 'administration', 'growth'], ['itself', 'network', 'anything', 'issue', 'lot'], ['their', 'image', 'cold', 'stuff'], ['central', 'step', 'trial'], ['often', 'yourself', 'sense', 'indicate', 'system'], ['green', 'TV', 'pattern', 'year', 'book'], ['opportunity', 'whatever']]"
Brooks LLC,05:00 - 11:39,"['General practice doctor', 'Theatre stage manager', 'Engineer, energy', 'Contractor']","[['adult', 'short'], ['positive', 'teacher', 'clearly', 'employee'], ['idea'], ['system']]"
"Jones, Meyer and Hood",20:11 - 03:15,"['Chartered public finance accountant', 'Advice worker', 'Furniture designer', 'Geoscientist', 'Data processing manager', 'Therapist, drama', 'Designer, jewellery']","[['evening', 'another', 'our', 'authority', 'wear'], ['member', 'front', 'cause'], ['professor'], ['suffer', 'effect', 'allow'], ['culture', 'word'], ['road'], ['part', 'within']]"
Schmitt LLC,14:32 - 05:40,"['Tax inspector', 'Youth worker']","[['put', 'important'], ['task', 'its', 'to']]"
Boyd Ltd,01:51 - 14:20,"['Insurance risk surveyor', 'Site engineer', 'Medical laboratory scientific officer', 'Psychologist, occupational', 'Contracting civil engineer', 'Engineer, petroleum', 'Sport and exercise psychologist', 'Translator', 'Psychotherapist, dance movement']","[['especially'], ['boy', 'price', 'make', 'free', 'provide'], ['money', 'catch', 'nation', 'everyone', 'institution'], ['hair'], ['theory', 'where', 'road', 'loss'], ['subject'], ['fine', 'have', 'culture', 'leader', 'authority'], ['source', 'structure'], ['sell', 'suddenly', 'central']]"
"Simon, Graves and Roberts",18:14 - 11:40,"['Presenter, broadcasting', 'Banker', 'Dealer', 'Commercial/residential surveyor', 'Product designer', 'Public relations officer', 'Illustrator']","[['share', 'I', 'condition', 'within'], ['attention', 'future', 'think', 'sing'], ['guess'], ['through', 'level'], ['fact', 'save', 'daughter', 'choose'], ['capital', 'simply', 'effect', 'itself'], ['career', 'medical']]"
"Matthews, Cameron and Shea",14:01 - 13:48,"['Site engineer', 'Metallurgist', 'Horticulturist, amenity', 'Secretary, company', 'Tax inspector', 'Historic buildings inspector/conservation officer', 'Fisheries officer', 'Doctor, general practice']","[['hold', 'health', 'feeling', 'clearly'], ['he', 'night', 'sea', 'risk', 'perhaps'], ['room', 'everybody', 'system', 'lot'], ['politics', 'girl', 'require', 'through', 'sing'], ['ask', 'ready', 'his', 'I', 'protect'], ['consider', 'be', 'nearly', 'significant'], ['garden', 'remain'], ['range', 'range', 'environmental', 'do']]"
Kent-Jones,12:38 - 08:03,"['Network engineer', 'Publishing copy', 'Immigration officer']","[['important', 'take', 'necessary', 'center'], ['want', 'oil', 'drive', 'serve'], ['support', 'Congress']]"
Edwards-Bailey,03:00 - 10:58,"['Accountant, chartered certified', 'Child psychotherapist', 'Therapist, occupational', 'Medical sales representative']","[['message', 'clearly', 'factor', 'address', 'require'], ['message', 'talk'], ['five', 'and', 'prepare', 'seek', 'sea'], ['late']]"
"Webb, Mcpherson and Alexander",13:56 - 18:19,"['Administrator, Civil Service', 'Chief Financial Officer']","[['I', 'themselves'], ['forget', 'day']]"
White and Sons,23:46 - 21:02,"['Chiropodist', 'Presenter, broadcasting', 'Designer, textile', 'Geochemist', 'Homeopath', 'Technical sales engineer', 'Leisure centre manager', 'Clinical embryologist']","[['off', 'environmental'], ['worry', 'certain', 'say', 'stage'], ['use', 'a'], ['election'], ['region', 'since', 'hope', 'fight'], ['there', 'have', 'see', 'marriage'], ['pull'], ['outside', 'during', 'agency', 'usually']]"
"Serrano, White and Warren",02:12 - 02:05,"['Editor, film/video', 'Editor, commissioning']","[['want', 'though', 'brother'], ['enough']]"
"Richards, Santos and Williams",12:02 - 10:35,"['Field trials officer', 'Communications engineer', 'Health promotion specialist', 'Multimedia specialist', 'Financial trader']","[['run', 'society', 'goal', 'name', 'huge'], ['become', 'couple', 'officer', 'nothing'], ['listen', 'red'], ['power'], ['administration', 'room']]"
Lee-Gibbs,15:01 - 14:08,"['Teacher, primary school', 'Health promotion specialist', 'Restaurant manager']","[['interesting', 'support'], ['pass', 'mention'], ['size', 'raise']]"
Chapman and Sons,12:41 - 02:05,"['Chief Executive Officer', 'Petroleum engineer', 'Commercial art gallery manager', 'Neurosurgeon', 'Chartered certified accountant', 'Outdoor activities/education manager', 'Forensic psychologist']","[['policy', 'daughter'], ['responsibility', 'measure', 'federal', 'apply', 'east'], ['account', 'doctor', 'purpose'], ['Mr', 'mission', 'return', 'memory'], ['benefit', 'high', 'girl'], ['explain', 'push', 'sit'], ['give']]"
"Campbell, Hickman and Price",15:52 - 20:42,"['Private music teacher', 'Financial adviser', 'Restaurant manager', 'Energy manager', 'Human resources officer']","[['various', 'serve', 'I', 'include', 'media'], ['send', 'compare', 'process', 'really', 'bank'], ['account'], ['to'], ['speech', 'you']]"
"Johnson, Boone and Mccarty",13:57 - 04:49,"['Insurance broker', 'Journalist, newspaper', 'Magazine features editor', 'Environmental health practitioner', 'Furniture designer', 'Conservation officer, historic buildings', 'Designer, furniture']","[['responsibility', 'prevent', 'whether', 'just', 'realize'], ['move'], ['until', 'study', 'collection', 'mother'], ['but', 'could', 'audience', 'east', 'smile'], ['miss', 'seem', 'partner', 'serious', 'industry'], ['card', 'serve'], ['we', 'group', 'consider']]"
Walker-Mcbride,12:39 - 07:03,"['Chief Technology Officer', 'Copywriter, advertising', 'Optician, dispensing']","[['rise'], ['available'], ['role', 'mind', 'area', 'close']]"
Fox LLC,06:40 - 17:56,"['Agricultural consultant', 'Programmer, systems', 'Training and development officer', 'Fashion designer', 'Psychiatric nurse', 'Fine artist']","[['report'], ['suddenly', 'month', 'stand', 'usually'], ['maybe', 'where', 'team'], ['mission', 'nature'], ['score', 'radio'], ['consumer', 'another', 'green', 'feeling']]"
Murray-Beasley,11:12 - 18:50,"['Financial controller', 'Podiatrist', 'Librarian, public', 'Quantity surveyor', 'Engineer, materials', 'Physiological scientist', 'Actuary', 'Copywriter, advertising']","[['wonder', 'community', 'pattern', 'throw', 'game'], ['present', 'music', 'sure', 'party'], ['add', 'develop', 'gas', 'politics'], ['each', 'you'], ['senior', 'really', 'music', 'main', 'though'], ['issue', 'list'], ['decade'], ['occur', 'manage', 'green', 'stuff']]"
Myers-Gill,00:39 - 09:48,"['Medical laboratory scientific officer', 'Administrator, local government', 'Barista', 'Learning mentor', 'Office manager']","[['minute', 'adult', 'late', 'occur'], ['phone'], ['business', 'Mrs'], ['end'], ['mind', 'think', 'city', 'whole']]"
Nicholson-Powers,09:35 - 13:02,"['Investment banker, corporate', 'Site engineer', 'English as a second language teacher', 'Patent examiner', 'Psychologist, educational', 'Geoscientist', 'Engineer, agricultural']","[['will', 'method'], ['positive', 'wide', 'buy', 'PM'], ['participant', 'policy'], ['picture', 'run'], ['stage', 'pattern', 'actually', 'management', 'church'], ['will', 'ready'], ['hair', 'nature', 'weight', 'could']]"
Arnold Inc,11:30 - 07:35,"['Surveyor, planning and development', 'Private music teacher', 'Sports coach', 'Newspaper journalist', 'Osteopath']","[['certainly'], ['phone'], ['hear'], ['into'], ['sea', 'choice', 'rock', 'whatever']]"
"Brady, Miller and Ramos",09:37 - 08:11,"['Runner, broadcasting/film/video', 'Editor, commissioning', 'Clinical cytogeneticist', 'Jewellery designer', 'Government social research officer']","[['practice', 'lead'], ['situation'], ['people', 'shake', 'race', 'agency'], ['center', 'character', 'seem'], ['more', 'tax', 'garden', 'send', 'from']]"
Rivera LLC,01:17 - 07:44,"['Market researcher', 'Gaffer', 'Research officer, trade union', 'Public relations officer', 'Surveyor, planning and development', 'Phytotherapist', 'Financial manager']","[['take', 'memory', 'force', 'guess'], ['appear', 'cost'], ['believe'], ['station', 'open', 'line'], ['crime'], ['international'], ['painting']]"
Butler-Lane,14:04 - 21:30,"['Probation officer', 'Scientist, research (life sciences)', 'Merchant navy officer', 'Designer, interior/spatial']","[['commercial', 'identify', 'cell', 'everything'], ['green'], ['couple', 'time'], ['enjoy', 'let', 'performance', 'single', 'fall']]"
Stokes-Rice,01:09 - 23:25,['Academic librarian'],"[['nature', 'commercial', 'entire', 'between', 'when']]"
"Hawkins, Moyer and Harrell",13:10 - 05:02,"['Administrator, Civil Service', 'Records manager', 'Pharmacist, community', 'Community arts worker', 'Administrator, sports', 'TEFL teacher', 'Ceramics designer', 'Archaeologist', 'Surveyor, insurance', 'Sales professional, IT']","[['want', 'appear'], ['seem', 'house'], ['station', 'necessary', 'must', 'Mr'], ['paper', 'purpose', 'seek', 'take'], ['per', 'message', 'already', 'actually', 'happy'], ['Congress'], ['director', 'system', 'organization'], ['news', 'move', 'order', 'night', 'each'], ['summer'], ['into', 'site']]"
"Phillips, Morris and Cook",20:43 - 04:56,"['Environmental consultant', 'Management consultant', 'Sales promotion account executive', 'Arts development officer', 'Personal assistant', 'Geophysical data processor', 'Engineer, building services']","[['vote', 'put', 'economy', 'feel', 'court'], ['quality'], ['floor', 'would'], ['good', 'age', 'eat'], ['American', 'service', 'media'], ['happy', 'national'], ['worker', 'why']]"
"Harris, Kennedy and Hernandez",13:44 - 22:28,"['Pharmacist, community', 'Therapist, music']","[['without', 'true'], ['bring', 'eight', 'them']]"
Howell and Sons,13:56 - 21:24,"['Solicitor', 'Arboriculturist', 'Chartered legal executive (England and Wales)', 'Armed forces technical officer', 'Printmaker', 'Management consultant', 'Cabin crew', 'Dentist']","[['subject'], ['speak', 'want', 'win', 'health', 'receive'], ['share', 'Democrat', 'wait', 'especially', 'whom'], ['future', 'push', 'site', 'space', 'resource'], ['name', 'song', 'power', 'what'], ['become'], ['require'], ['though', 'since']]"
Williams-Bright,08:08 - 14:57,"['Environmental health practitioner', 'Equities trader', 'Scientist, water quality', 'Engineer, building services', 'Logistics and distribution manager']","[['important', 'carry'], ['what', 'for', 'six', 'either', 'matter'], ['drive', 'happen', 'audience', 'pay'], ['responsibility', 'list'], ['until']]"
"Gonzalez, Rowe and Johnson",14:44 - 00:32,"['Publishing rights manager', 'Minerals surveyor', 'Therapeutic radiographer', 'Youth worker', 'Advertising art director', 'Homeopath']","[['indeed', 'moment'], ['certain'], ['attention'], ['network', 'trial'], ['across'], ['chance', 'stop', 'more', 'free', 'reflect']]"
"Case, Cooley and Olson",22:36 - 08:34,"['Medical laboratory scientific officer', 'Personal assistant', 'English as a foreign language teacher', 'Programme researcher, broadcasting/film/video', 'Chief Technology Officer', 'Occupational hygienist', 'Make', 'Merchandiser, retail']","[['hope', 'first', 'visit'], ['example', 'statement'], ['since', 'you', 'pretty', 'price'], ['building', 'image', 'no', 'run', 'people'], ['she', 'work'], ['realize', 'mean', 'game', 'operation'], ['everyone', 'picture', 'late', 'matter', 'push'], ['what', 'away', 'perform']]"
Thompson Group,18:46 - 22:30,"['Museum/gallery conservator', 'Set designer', 'Claims inspector/assessor', 'Designer, graphic', 'Emergency planning/management officer', 'Osteopath', 'Architectural technologist', 'Statistician']","[['actually', 'plant', 'number'], ['rich', 'can', 'so', 'candidate', 'smile'], ['perform', 'why', 'fund'], ['production', 'challenge'], ['out', 'read', 'parent', 'per'], ['star', 'seem', 'rather', 'television'], ['front', 'require', 'amount'], ['argue']]"
Odonnell-Marsh,11:45 - 03:06,['Multimedia specialist'],"[['remember', 'key', 'offer']]"
Myers-Prince,19:49 - 10:48,"['Sports therapist', 'Soil scientist', 'Runner, broadcasting/film/video', 'Lighting technician, broadcasting/film/video', 'Economist', 'Financial risk analyst', 'Publishing copy', 'Field seismologist', 'Petroleum engineer']","[['great', 'since', 'seek', 'in'], ['central', 'beyond', 'sing'], ['bad', 'condition', 'provide', 'ago', 'how'], ['catch', 'stay', 'force', 'eight', 'risk'], ['improve'], ['trip', 'begin', 'child', 'strong', 'production'], ['man', 'guy', 'six'], ['able'], ['property', 'high', 'answer', 'rise', 'religious']]"
Parker Inc,21:29 - 08:10,"['Accounting technician', 'Public affairs consultant', 'Insurance broker', 'Special effects artist']","[['memory'], ['according', 'company', 'between', 'effort', 'hospital'], ['born', 'happen', 'positive', 'box'], ['nothing', 'avoid', 'adult', 'need', 'phone']]"
Bates-Willis,20:34 - 16:42,"['Structural engineer', 'Personnel officer']","[['position', 'investment', 'approach', 'opportunity', 'goal'], ['bit', 'card', 'question', 'reality', 'service']]"
"White, Haney and Lewis",14:37 - 03:27,"['Publishing rights manager', 'Community pharmacist', 'Petroleum engineer', 'Education administrator', 'Lexicographer', 'English as a second language teacher', 'Naval architect', 'Agricultural engineer', 'Therapist, sports']","[['total', 'light', 'before'], ['professor', 'surface'], ['word', 'on', 'among'], ['season', 'ready', 'bar', 'year'], ['art', 'line', 'explain', 'say'], ['according', 'ago', 'when', 'choose'], ['every', 'agent'], ['machine', 'benefit'], ['thought', 'beautiful', 'difference', 'draw', 'lead']]"
"Fischer, Murphy and Salazar",06:03 - 19:41,"['Television/film/video producer', 'Engineer, communications']","[['simple', 'recognize'], ['all', 'job', 'serve', 'few', 'detail']]"
Lewis-Stevens,00:04 - 17:25,"['Engineer, maintenance (IT)', 'Designer, fashion/clothing', 'Administrator, local government', 'Tourism officer', 'Landscape architect']","[['seem', 'individual', 'half', 'reality', 'piece'], ['over', 'use'], ['world'], ['various', 'test'], ['PM', 'ago', 'theory']]"
Rowe LLC,13:24 - 01:48,"['Air traffic controller', 'Fashion designer', 'Sports administrator', 'Management consultant', 'Field seismologist', 'Financial controller']","[['whatever', 'imagine', 'sit'], ['event', 'lot', 'method', 'travel'], ['majority', 'thought', 'source', 'administration', 'race'], ['doctor', 'price'], ['product', 'Democrat'], ['treatment']]"
Torres and Sons,14:52 - 16:33,"['Psychiatric nurse', 'Passenger transport manager', 'Site engineer', 'Dramatherapist', 'Warehouse manager', 'Recruitment consultant']","[['religious', 'baby', 'somebody'], ['sit', 'should', 'develop', 'control'], ['nothing', 'like'], ['manage', 'discover', 'by', 'care'], ['cover', 'last', 'blue', 'history', 'couple'], ['analysis']]"
"Fisher, Meyer and Dorsey",16:38 - 06:04,"['Occupational psychologist', 'Architectural technologist']","[['admit', 'treatment', 'man', 'common', 'low'], ['here', 'pay', 'sure', 'popular']]"
Lin-Carpenter,22:44 - 18:51,"['Illustrator', 'Secondary school teacher', 'Biochemist, clinical', 'Sales executive', 'Surgeon', 'Building services engineer', 'Estate manager/land agent', 'Commissioning editor']","[['throughout', 'officer', 'itself', 'involve', 'a'], ['kind'], ['real', 'television', 'executive', 'television', 'themselves'], ['four', 'size', 'strong', 'bank'], ['page', 'serious', 'none', 'business', 'media'], ['government', 'break', 'risk'], ['child', 'television'], ['beyond', 'be', 'enough', 'low']]"
Thomas Inc,13:18 - 18:06,"['Arts development officer', 'Engineer, chemical', 'Seismic interpreter', 'Proofreader', 'Archaeologist', 'Psychiatrist', 'Museum/gallery exhibitions officer', 'Buyer, industrial', 'Programmer, applications', 'Veterinary surgeon']","[['center', 'quickly', 'indeed', 'total', 'give'], ['major', 'recent', 'particularly', 'simple', 'check'], ['whole', 'share', 'audience'], ['nothing', 'usually', 'adult', 'measure'], ['year', 'various', 'card'], ['color'], ['pay', 'service'], ['card', 'lead', 'follow', 'city'], ['full'], ['single']]"
"Robinson, Graves and Perry",06:28 - 14:48,"['Water engineer', 'Fisheries officer', 'Holiday representative', 'Sub', 'Historic buildings inspector/conservation officer', 'Geophysicist/field seismologist', 'Clinical psychologist', 'Engineer, biomedical', 'Lecturer, further education']","[['traditional', 'economic', 'blue', 'position', 'nice'], ['pattern', 'trip'], ['forward', 'dream'], ['trip', 'nor', 'film', 'or', 'about'], ['leave'], ['newspaper', 'blue', 'left', 'poor'], ['suddenly', 'media', 'product', 'capital'], ['reduce', 'team', 'girl', 'they'], ['have']]"
"Bowen, Farmer and Clay",09:33 - 11:06,"['Transport planner', 'Research officer, trade union', 'Psychologist, occupational', 'Orthoptist', 'Museum/gallery exhibitions officer', 'Actor', 'Operational researcher', 'Air broker']","[['cell'], ['our'], ['population', 'majority'], ['firm', 'admit', 'she', 'front'], ['adult', 'about', 'save', 'pick'], ['few', 'open', 'return'], ['cultural'], ['again']]"
"Martinez, Nichols and Ramos",19:48 - 17:42,"['Forest/woodland manager', 'Conservation officer, nature', 'Recruitment consultant', 'Dietitian', 'Insurance claims handler', 'Scientist, marine', 'Administrator, sports', 'Surveyor, commercial/residential']","[['relate', 'detail'], ['create', 'suddenly'], ['everybody', 'by', 'industry'], ['window', 'she', 'represent', 'fund'], ['view', 'body', 'like'], ['put', 'give', 'teach', 'spend'], ['recent'], ['huge', 'deal', 'maybe']]"
"Gilbert, Lane and Stokes",03:16 - 11:17,"['Nurse, learning disability', 'Health visitor', 'Nurse, mental health', 'Psychologist, prison and probation services', 'Accounting technician', 'Oncologist', 'Data processing manager', 'Production designer, theatre/television/film', 'Mechanical engineer', 'Geophysicist/field seismologist']","[['only', 'friend', 'operation', 'road'], ['a', 'miss', 'research'], ['history', 'different', 'goal'], ['together', 'catch', 'nature', 'military', 'community'], ['beyond', 'production'], ['site', 'him', 'former', 'member'], ['various', 'never', 'increase', 'least', 'pull'], ['dinner'], ['nation', 'from', 'simply', 'story'], ['dark']]"
Kelly-Whitehead,19:52 - 06:39,"['Computer games developer', 'Osteopath', 'Hospital doctor', 'Clinical molecular geneticist', 'Health physicist', 'Event organiser', 'Trade union research officer', 'Editor, film/video', 'Banker', 'Telecommunications researcher']","[['quality', 'true', 'medical'], ['recognize', 'recognize'], ['tonight'], ['a', 'memory', 'heavy'], ['will', 'town', 'economy', 'pass'], ['sister', 'may'], ['many', 'service', 'hope', 'explain'], ['hair'], ['movement', 'difference', 'simply'], ['time']]"
Martin-Mason,07:57 - 09:57,"['Technical sales engineer', 'Programme researcher, broadcasting/film/video', 'Field seismologist']","[['approach', 'themselves'], ['catch', 'story', 'on'], ['process', 'structure']]"
"Caldwell, Gross and Fitzgerald",21:58 - 20:41,"['Surveyor, hydrographic', 'Designer, industrial/product', 'Surveyor, rural practice', 'Engineer, aeronautical', 'Senior tax professional/tax inspector', 'Tour manager', 'Investment banker, corporate', 'Clinical molecular geneticist', 'Engineer, maintenance', 'Engineer, structural']","[['who'], ['whatever', 'position', 'own', 'foreign'], ['ground', 'kid'], ['could', 'past'], ['call'], ['direction', 'serious'], ['very', 'at', 'ground'], ['computer', 'few', 'economy'], ['establish', 'traditional', 'free'], ['painting']]"
Peters-Thompson,01:13 - 20:46,"['Microbiologist', 'English as a foreign language teacher', 'Occupational psychologist', 'Toxicologist', 'Designer, industrial/product', 'Administrator, charities/voluntary organisations', 'Radio producer', 'Print production planner', 'Chief Marketing Officer']","[['could', 'risk'], ['good', 'several', 'house', 'bit', 'reality'], ['research'], ['lead', 'that', 'however', 'project', 'instead'], ['attention', 'carry', 'east', 'discover'], ['itself', 'long', 'as'], ['of', 'whom', 'reflect', 'my'], ['hit', 'let', 'might'], ['opportunity', 'economy']]"
